video_id,publishedAt,channel_Id,video_title,channel_Title,categoryId,duration,definition,caption,licensedContent,madeForKids,viewCount,likeCount,commentCount,country,category_title,trending_date
P7BusKTXzP0,2025-08-14 13:15:07+00:00,UCbeSWnb5mEX3YNPC6ZD01NA,ST MAN FT. YUNG 22 & BIG NORZZA - BOMBAY | OFFICIAL MUSIC VIDEO | 2025,ST MAN ,10,268.0,hd,True,True,False,332905,47191,3725,United Arab Emirates,Music,2025-08-17
ueCc-AYUMRs,2025-08-14 13:00:00+00:00,UCWOA1ZGywLbqmigxE4Qlvuw,Wednesday: Season 2 | Part 2 Official Trailer | Netflix,Netflix,24,119.0,hd,True,True,False,1279831,69794,3045,United Arab Emirates,Entertainment,2025-08-17
bJFfBzdSiOE,2025-08-14 20:31:30+00:00,UCtitbNi-aiZDmw_TG8kW44Q,دوري صناع المحتوى - الأسبوع السادس | اليوم الرابع و العشرون | Team Bo3omar22 vs Team Thamer,Content Creator League,24,8685.0,hd,False,False,False,353271,12409,111,United Arab Emirates,Entertainment,2025-08-17
FMX98ROVRCE,2025-08-14 03:00:07+00:00,UC6-BgjsBa5R3PZQ_kZ8hKPg,LISA - DREAM feat. Kentaro Sakaguchi (Official Short Film MV),LLOUD Official,10,309.0,hd,False,True,False,5393977,834644,53208,United Arab Emirates,Music,2025-08-17
fdWnfzsx-ks,2025-08-12 08:30:00+00:00,UC-LOdiPoxninevJ0DkleCLg,Param Sundari - Official Trailer | Sidharth M | Janhvi K | Dinesh V | Tushar J | In Cinemas 29th Aug,Maddock Films,24,160.0,hd,False,False,False,39783289,463909,33533,United Arab Emirates,Entertainment,2025-08-17
ZaSo_x--ltk,2025-08-14 11:00:54+00:00,UCV5ZVvsnqXniOnI4yydz8pQ,٩٩ ليلة في الغابة🌲الجزء الثاني✌🏻تتوقعو قدرنا ننجو بحياتنا وننقذ باقي الاطفال!؟😰😭| roblox,لانا و رورو,22,1036.0,hd,False,True,False,404542,16030,5524,United Arab Emirates,People & Blogs,2025-08-17
sanVq0ncvq8,2025-08-14 14:00:11+00:00,UCwfsdm7seYaI6sJezipH7ZA,Bilal Derky - كيف عملت هيك [Official Lyric Video] (2025),Bilal Derky - بلال ديركي,10,182.0,hd,False,True,False,61247,6101,570,United Arab Emirates,Music,2025-08-17
v1FAaUxF0kg,2025-08-12 05:20:04+00:00,UCGqvJPRcv7aVFun-eTsatcA,Teaser | Akshay Kumar | Arshad Warsi | Subhash Kapoor | Jolly LLB 3 | In Cinemas 19th September,Star Studios,24,90.0,hd,False,True,False,26672274,357395,10416,United Arab Emirates,Entertainment,2025-08-17
sj3Vs46_nHg,2025-08-13 21:55:10+00:00,UCRkuUgtDAL4XSU5jB40J_wA,Upgrading My SUBSCRIBERS Accounts In Steal A Brainrot..,Foltyn,20,932.0,hd,False,True,False,1460017,30038,9876,United Arab Emirates,Gaming,2025-08-17
p3ICY8aj8s8,2025-08-13 11:30:12+00:00,UChYK8MU-mE0VNjzC4HzjWaA,2 Duni 4 (Official Video) | R Nait | Gurlez Akhtar | Latest Punjabi Song 2025,One Take Worldwide,25,226.0,hd,False,True,False,1593654,18997,1060,United Arab Emirates,News & Politics,2025-08-17
uMek4-PwqWY,2025-08-14 15:41:01+00:00,UC0lim_2uDhX1myTjq55AIsA,WAR 2 MOVIE REVIEW | Hrithik Roshan | Jr NTR | @RJRaunac,Screenwala,24,248.0,hd,False,True,False,194005,9909,943,United Arab Emirates,Entertainment,2025-08-17
b0BuvcBEZN0,2025-08-14 07:42:17+00:00,UCX4wSxt1d4C9vRtQad-UBdg,PSG vs Tottenham 2-2 (Pen 4-3) Highlights & All Goals 🔥 UEFA Super Cup 2025 HD,Tùng Bỏng,22,583.0,hd,False,True,False,645813,5540,119,United Arab Emirates,People & Blogs,2025-08-17
Uc8MCfbjcnE,2025-08-14 17:00:06+00:00,UCP7Lfr29SgtN4DuakXJfg0g,"Olamide - Billionaires Club (Official Video) ft. Wizkid, Darkoo",OlamideVEVO,10,247.0,hd,False,True,False,203171,19442,1944,United Arab Emirates,Music,2025-08-17
HVh_heRuy68,2025-08-14 08:39:42+00:00,UCKQKIY2YlI4L5QVg7hhfjrQ,Mirai - Teaser (Hindi) | Teja Sajja | Manchu Manoj | Ritika Nayak | Karthik Gattamneni | Sep 5,Dharma Productions,1,137.0,hd,False,True,False,703091,31821,857,United Arab Emirates,Film & Animation,2025-08-17
b2iL6A5tsUU,2025-08-14 20:21:03+00:00,UCENNtCRTPTdH_IGXs42LuHQ,TEKKEN8 at EWC 25 - Day 2 -  Group Stage,Esports World Cup,20,23980.0,hd,False,True,False,185926,2982,35,United Arab Emirates,Gaming,2025-08-17
hdR10hAPqtg,2025-08-14 12:30:07+00:00,UCLbdVvreihwZRL6kwuEUYsA,Thankam | Vala - Story of A Bangle | Lukman Avaran | Dhyan Sreenivasan | Govind Vasantha | Muhashin,Think Music India,10,183.0,hd,False,True,False,109419,952,85,United Arab Emirates,Music,2025-08-17
PI6-qKhzTt8,2025-08-13 12:57:00+00:00,UCuPivVjnfNo4mb3Oog_frZg,Marty Supreme | Official Teaser HD | A24,A24,1,126.0,hd,True,True,False,1534023,43446,2920,United Arab Emirates,Film & Animation,2025-08-17
FbCF_H4ZD64,2025-08-14 03:30:12+00:00,UCm-X6o81nRsXQTmqpyArkBQ,I hosted an ADMIN ABUSE on GROW A GARDEN,Flamingo,20,874.0,hd,False,True,False,2295524,98471,11446,United Arab Emirates,Gaming,2025-08-17
BGQT1QDXw7A,2025-08-14 06:30:07+00:00,UCT_ISKOnIY_QZmGirzl8d_g,New Punjabi Songs 2025 | Ansari - (Official Video) Baaghi | Latest Punjabi Songs 2025,Baaghi,10,182.0,hd,False,True,False,136420,4948,298,United Arab Emirates,Music,2025-08-17
C6ZEN5MVJaU,2025-08-13 16:00:06+00:00,UClOf1XXinvZsy4wKPAkro2A,Wuyang | New Hero Gameplay Trailer | Overwatch 2,PlayOverwatch,20,92.0,hd,True,True,False,541391,28207,3151,United Arab Emirates,Gaming,2025-08-17
TXaMLbhNZ20,2025-08-14 13:15:07+00:00,UCuAeaANgGAzjitp9KCO-qvg,Greatest Aura Farming Moments in Grow a Garden,MeEnyu,20,1348.0,hd,False,True,False,312249,10051,1353,United Arab Emirates,Gaming,2025-08-17
bb_LerK3ZXA,2025-08-13 12:00:06+00:00,UCiPWKF49sgau1GobfVZVxwA,HEY JUNE! - LASIK (Narrative Music Video),HEYJUNEVEVO,10,288.0,hd,False,True,False,269031,30737,3457,United Arab Emirates,Music,2025-08-17
l275FrBatio,2025-08-10 04:30:07+00:00,UChRi1dpwnsZcIo1LSwzY0Iw,"Odum Kuthira Chaadum Kuthira |Official Trailer | Fahadh Faasil, Kalyani | Althaf Salim | Ashiq Usman",Muzik247,24,157.0,hd,True,True,False,2081237,30185,1238,United Arab Emirates,Entertainment,2025-08-17
Obq6Q4ia5IE,2025-08-14 03:31:29+00:00,UC2uQvUg3YYzoOtj1yZLT0Ow,$0 To $1 Trillion But My INVENTORY Is RANDOM..,FoltynPlays,20,1052.0,hd,False,True,False,354531,7983,2693,United Arab Emirates,Gaming,2025-08-17
3lzAgMs1lH4,2025-08-14 04:30:37+00:00,UCbTLwN10NoCU4WDzLf1JMOA,"Janaab-e-Aali Song | WAR 2 | Audio Out Now Promo| Hrithik Roshan, NTR, Pritam, Sachet, Saaj, Amitabh",YRF,10,23.0,hd,False,True,False,304696,10158,379,United Arab Emirates,Music,2025-08-17
m1Q-TqVeHuo,2025-08-11 10:19:24+00:00,UCeiAKuJGZrIjYvaq0nMwbJg,Baaghi 4 Teaser REVIEW | Deeksha Sharma,Filmi Indian,24,222.0,hd,False,True,False,814094,26488,1587,United Arab Emirates,Entertainment,2025-08-17
Q1URzsir6zQ,2025-08-14 16:41:23+00:00,UCsPMNatXCwqyUuJilBT73jg,I Upgraded My SUBSCRIBERS ACCOUNT In Steal a Brainrot!,CaylusBlox,20,816.0,hd,False,True,False,361670,9340,2465,United Arab Emirates,Gaming,2025-08-17
MZETIoZlLC4,2025-08-13 01:00:28+00:00,UCU_FozE_MPC8w4YncyShmJQ,#Video - गुलरी के फूल | #Khesari Lal Yadav | Srishti Bharti | Neelam G Gulari Ke Phool Bhojpuri Song,GMJ - Global Music Junction - Bhojpuri,10,181.0,hd,False,True,False,1140479,60621,4925,United Arab Emirates,Music,2025-08-17
1DgBqtU2NKU,2025-08-11 05:38:39+00:00,UC2woPAI_KMAR25R_oezEQqw,"Mass Jathara - TEASER | Ravi Teja, Sreeleela | Bheems | S Naga Vamsi | Bhanu Bogavarapu",Sithara Entertainments,24,96.0,hd,False,True,False,2520812,108249,3669,United Arab Emirates,Entertainment,2025-08-17
dMz5UCzFrLw,2025-08-14 12:30:55+00:00,UCOfyvsftRqM5yyqpT392b4A,I tested 9 HIDDEN SECRETS that NO ONE KNOWS in STEAL a BRAINROT…,Dash Roblox,20,1258.0,hd,False,True,False,240277,2859,373,United Arab Emirates,Gaming,2025-08-17
P0Ak8c0aD_I,2025-08-07 08:39:15+00:00,UCFFbwnve3yF62-tVXkTyHqg,"Ishq Bukhaar - Tehran | John Abraham, Elnaaz Norouzi | Tanishk B, Shreya Ghoshal, B Praak, Irshad K",Zee Music Company,10,165.0,hd,False,True,False,18304518,77715,3279,United Arab Emirates,Music,2025-08-17
JajfWEQ07Ug,2025-08-11 12:51:37+00:00,UCIihexFQucy1Sm7V7yvL_mA,Baaghi 4 Teaser Review | Yogi Bolta Hai,YOGI BOLTA HAI,24,201.0,hd,False,True,False,632527,28557,1195,United Arab Emirates,Entertainment,2025-08-17
uZl-G_rMRL8,2025-08-13 11:01:30+00:00,UCJHBJ7F-nAIlMGolm0Hu4vg,What's INSIDE the LONGEST DOOR?,Maizen,20,1034.0,hd,False,True,False,1285012,7455,622,United Arab Emirates,Gaming,2025-08-17
I6mcMPoOvo8,2025-08-13 16:00:06+00:00,UChJW2HOHc5eWZi1X9jf9hTQ,Hamza Namira - Mabetlaeneesh | حمزة نمرة - ما بتلاقينيش,Hamza Namira,10,197.0,hd,False,True,False,152158,6639,446,United Arab Emirates,Music,2025-08-17
Lk5klPgwbCc,2025-08-11 02:00:08+00:00,UCh5kdkoH3OUpMY5jg3zaJwQ,JAARI 2 - SONG OF CHYABRUNG (OFFICIAL TEASER) - DAYAHANG RAI - MIRUNA MAGAR - UPENDRA SUBBA,Baasuri Films,24,155.0,hd,False,True,False,908981,33676,1223,United Arab Emirates,Entertainment,2025-08-17
4He0k2FSx7Q,2025-08-14 13:14:05+00:00,UCPLMPHT-d8GZOqL_AHJFdQQ,The Unstable SMP Experience,Parrot,20,2865.0,hd,False,True,False,324218,20152,3111,United Arab Emirates,Gaming,2025-08-17
ODgom3t_XhA,2025-08-03 22:00:21+00:00,UCuJRyv3KlDLOvPmdJGjHDdg,جديد / سلــــمان الــــعويس ( تعـــــــــال ) 2025 ,سلمان العويس,10,242.0,hd,False,False,False,364432,6454,207,United Arab Emirates,Music,2025-08-17
nBEk1hYzl2k,2025-08-12 13:16:35+00:00,UCAvWlHVU_q1MXvIB7CYKsCQ,Coolie Leaked Synopsis Decode | Coolie - Trailer | Rajinikanth | Sun Pictures | Lokesh,Donald Sebastian,22,1033.0,hd,False,True,False,46458,2736,271,United Arab Emirates,People & Blogs,2025-08-17
USEg5IE-YyY,2025-08-14 15:00:53+00:00,UC0eLBYhxW9HC0P9PXQ73mpQ,I Found My SECRET Minecraft World From 11 Years Ago…,Cash,24,1440.0,hd,False,True,False,210639,4803,742,United Arab Emirates,Entertainment,2025-08-17
JSRMmhyPx3g,2025-08-13 12:00:50+00:00,UC154uboA-SfwiP5DtwBMgwg,NJ - GARJANAM | Music Video | Neeraj Madhav | Ribin Richard,Neeraj Madhav,10,262.0,hd,False,True,False,50924,10023,398,United Arab Emirates,Music,2025-08-17
AXJ0NXDvyIA,2025-08-12 05:02:52+00:00,UCVZapV0958xAUsCctF_ED4w,BAAGHI 4 Teaser Review: Is This A JOKE?,Shan Prasher,24,756.0,hd,False,True,False,356976,14664,1380,United Arab Emirates,Entertainment,2025-08-17
-L_g6SZpX0k,2025-08-14 17:27:47+00:00,UCM54DMduUCssyI_pLxg64Mg,UPDATE 27 TRAILER IS HERE...,Uzoth,20,877.0,hd,False,True,False,256414,22476,6839,United Arab Emirates,Gaming,2025-08-17
J5jnr3h-DtI,2025-08-12 15:00:30+00:00,UCkToh0AM-mn01WOT2TFR6JQ,Assala  - Bahi Elhsn | Lyrics Video 2025 | أصالة - بهي الحسن,Assala Nasri,10,287.0,hd,False,True,False,233891,9167,1068,United Arab Emirates,Music,2025-08-17
gyNiiqqa6C8,2025-08-11 13:01:30+00:00,UCgbzclo4Mfy_D68w_Bm_xHg,Baaghi 4 TEASER Review | Tiger Shroff | Sanjay Dutt | Sonam Bajwa,Tried&Refused Productions.,24,517.0,hd,False,True,False,267143,8730,1225,United Arab Emirates,Entertainment,2025-08-17
8_4kQftrqiU,2025-08-14 17:01:19+00:00,UCe31NPEeRGO0hcznx6Tdb-g,OG vs NG: Legacies Clash | Day 1,BATTLEGROUNDS MOBILE INDIA,20,19891.0,hd,False,False,False,1505813,50636,76,United Arab Emirates,Gaming,2025-08-17
uN0XALJwXE0,2025-08-14 07:55:04+00:00,UCigWfSHrbJ63ak_Kt0bjBtQ,"90’S Old Hindi Songs💘 90s Love Song💘 Udit Narayan, Alka Yagnik, Kumar Sanu 🥰 Hindi Jukebox Songs",Suno Filmy Gaane,10,8205.0,hd,False,True,False,1042751,4361,61,United Arab Emirates,Music,2025-08-17
0M8Qpqo-on4,2025-08-11 11:30:01+00:00,UCbpjEr8lHlnkf1SQ5tnDEYw,Karuppu (Tamil) - Teaser | Suriya | RJB | Trisha | ‪Sai Abhyankkar‬ | Dream Warrior Pictures,Dream Warrior Pictures,1,103.0,hd,True,True,False,399276,17357,424,United Arab Emirates,Film & Animation,2025-08-17
tlJoKLwSgMI,2025-08-14 18:08:43+00:00,UCxsk7hqE_CwZWGEJEkGanbA,i'm done,KreekCraft,20,1586.0,hd,False,True,False,553838,53843,10649,United Arab Emirates,Gaming,2025-08-17
UOZz-0X44VE,2025-08-12 11:30:32+00:00,UC7wr_pLs8KVXkkXWZxHLR0A,Oru Muthum Thedi SneakPeek | Sahasam | Ramzan | Gouri | Babu Antony | Narain | Aju Varghese,East Coast,10,59.0,hd,False,True,False,58553,903,45,United Arab Emirates,Music,2025-08-17
