video_id,publishedAt,channel_Id,video_title,channel_Title,tags,categoryId,defaultLanguage,duration,dimension,definition,caption,licensedContent,madeForKids,viewCount,likeCount,commentCount,country
P7BusKTXzP0,2025-08-14T13:15:07Z,UCbeSWnb5mEX3YNPC6ZD01NA,ST MAN FT. YUNG 22 & BIG NORZZA - BOMBAY | OFFICIAL MUSIC VIDEO | 2025,ST MAN ,"['st man new song', 'st man india', 'st man kollywood album', 'st man nepali rap song', 'nepali hiphop song', 'nepali rap song 2024', 'nhr gang', 'Lil norzza', 'yung 22', 'lil jhola', 'vten', 'indian hiphop song', 'yo yo honey singh', 'badshah song', 'raftaar song', 'hindi rap song', 'bollywood', 'punjabi rap song', 'sidhu moose wala']",10,en-US,PT4M28S,2d,hd,true,True,False,264355,45213,3481,United Arab Emirates
fdWnfzsx-ks,2025-08-12T08:30:00Z,UC-LOdiPoxninevJ0DkleCLg,Param Sundari - Official Trailer | Sidharth M | Janhvi K | Dinesh V | Tushar J | In Cinemas 29th Aug,Maddock Films,"['Param Sundari', 'Param Sundari Trailer', 'Sidharth Malhotra', 'Janhvi Kapoor', 'Siddharth Malhotra', 'Sidharth Malhotra New Movie', 'Janvi Kapoor', 'Janhvi Kapoor New Movie', 'Trailer 2025', 'Pardesiya', 'Pardesiya Sonu Nigam', 'Sonu Nigam Songs', 'New Movie 2025', 'Hindi Film Trailer', 'Hindi Movie Trailer 2025', 'Hindi Songs', 'Romantic Songs', 'Romance Movies', 'Param Sundari Trailer Review']",24,,PT2M40S,2d,hd,false,False,False,39666545,463335,33480,United Arab Emirates
ZaSo_x--ltk,2025-08-14T11:00:54Z,UCV5ZVvsnqXniOnI4yydz8pQ,٩٩ ليلة في الغابة🌲الجزء الثاني✌🏻تتوقعو قدرنا ننجو بحياتنا وننقذ باقي الاطفال!؟😰😭| roblox,لانا و رورو,,22,,PT17M16S,2d,hd,false,True,False,338849,14743,5155,United Arab Emirates
FMX98ROVRCE,2025-08-14T03:00:07Z,UC6-BgjsBa5R3PZQ_kZ8hKPg,LISA - DREAM feat. Kentaro Sakaguchi (Official Short Film MV),LLOUD Official,"['Blackpink', 'Lisa', 'Music', 'Fashion', 'K-Pop', 'kpop', 'LLoud', 'dance', 'dancing', 'lili', 'lilifilms', 'korea', 'LISA dream', 'lisa Kentaro', 'dream lyrics', 'dream short film', 'lisa short film', 'Kentaro Sakaguchi', 'LISA new music', 'LISA new album', 'LISA alter ego', 'alter ego', 'อัลเทอร์ อีโก้', '알터 에고', 'lalisa', 'lily', 'lillies', 'blinks', 'pop music', 'rockstar', 'money', 'ลิซ่า', 'ลลิษา', 'ลิลี่', 'ดอกลิลลี่', 'แบล็กพิงก์', 'บลิ้ง', 'บลิ้งส์', 'เคป๊อป', 'ป๊อป', 'เพลงป๊อป', 'ลลาว', 'ลลาว ลิซ่า', 'ร็อกสตาร์', 'เงิน', 'เพลงละติน', '리사', '라리사', '릴리', '백합', '블랙핑크', '블링크', '블링크들', '케이팝', '팝', '팝 음악', '라우드', '라우드 리사', '락스타', '머니']",10,,PT5M9S,2d,hd,false,True,False,5013575,805864,51927,United Arab Emirates
ueCc-AYUMRs,2025-08-14T13:00:00Z,UCWOA1ZGywLbqmigxE4Qlvuw,Wednesday: Season 2 | Part 2 Official Trailer | Netflix,Netflix,"['Catherine Zeta-Jones', 'Emma Myers', 'Enid', 'Gwendoline Christie', 'Jenna Ortega', 'Larissa Weems', 'Netflix', 'Tim Burton', 'Trailer', 'Wednesday']",24,,PT1M59S,2d,hd,true,True,False,992009,63033,2755,United Arab Emirates
sj3Vs46_nHg,2025-08-13T21:55:10Z,UCRkuUgtDAL4XSU5jB40J_wA,Upgrading My SUBSCRIBERS Accounts In Steal A Brainrot..,Foltyn,"['foltyn', 'foltyn roblox', 'family friendly', 'roblox', 'roblox foltyn', 'foltyn family', 'funny', 'no swearing', 'foltyn family roblox', 'roblox foltyn family', 'blade ball', 'roblox blade ball', 'foltyn blade ball', 'kid friendly', 'upgrading subscribers accounts in steal a brainrot..', 'Upgrading my subscribers accounts in steal a brainrot!', 'Upgrading My Crush’s Steal a Brainrot Account', ""Upgrading a 9 Year Old's Steal a Brainrot Account""]",20,,PT15M32S,2d,hd,false,True,False,1389789,28801,9690,United Arab Emirates
p3ICY8aj8s8,2025-08-13T11:30:12Z,UChYK8MU-mE0VNjzC4HzjWaA,2 Duni 4 (Official Video) | R Nait | Gurlez Akhtar | Latest Punjabi Song 2025,One Take Worldwide,"['2 duni 4', 'R Nait', 'Gurlej Akhtar', '2 DUNI 4 (feat. Gurlej Akhtar)', 'Gurlez Akhtar', '2 duni 4 r nait new song', '2 duni 4 song video', 'r nait', '2 duni 4 song', 'punjabi song', 'r nait punjabi song', 'punjabi gana', 'r nait punjabi songs', 'gurlez akhtar new song', 'r nait gurlez akhtar', 'R Nait 2025 song', 'Latest Punjabi Song 2025', 'Punjabi song R Nait', 'R Nait official video', 'Gurlez Akhtar latest song', 'Punjabi hits 2025', 'new punjabi video song', 'do dooni chaar', 'do duni char']",25,pa,PT3M46S,2d,hd,false,True,False,1518890,18805,1058,United Arab Emirates
v1FAaUxF0kg,2025-08-12T05:20:04Z,UCGqvJPRcv7aVFun-eTsatcA,Teaser | Akshay Kumar | Arshad Warsi | Subhash Kapoor | Jolly LLB 3 | In Cinemas 19th September,Star Studios,,24,en,PT1M30S,2d,hd,false,True,False,26479678,356597,10388,United Arab Emirates
b0BuvcBEZN0,2025-08-14T07:42:17Z,UCX4wSxt1d4C9vRtQad-UBdg,PSG vs Tottenham 2-2 (Pen 4-3) Highlights & All Goals 🔥 UEFA Super Cup 2025 HD,Tùng Bỏng,,22,,PT9M43S,2d,hd,false,True,False,506329,5073,109,United Arab Emirates
sanVq0ncvq8,2025-08-14T14:00:11Z,UCwfsdm7seYaI6sJezipH7ZA,Bilal Derky - كيف عملت هيك [Official Lyric Video] (2025),Bilal Derky - بلال ديركي,"['bilal derky', 'bilal derki', 'bilal darky', '2025 بلال دركي', 'bilal derky music', 'bilal derky 2025', 'اغاني بلال دركي', 'Bilal Derky - كيف عملت هيك', 'كيف عملت هيك', 'Bilal Derky', 'Kif Emelet Hek', 'keef 3emlet hek', 'kif eemlet hek', 'kif eemlet heik', 'keef 3emlet heik', 'new bilal derky', 'bilal dekry 2025', 'bilal dirky 2025', 'كيف عملت', 'هيك', 'ولا كان على بالي', 'حب', 'وامانة عليك', 'سحروني عيونا', 'شو السر يلي فيها', 'shu el ser el fiha', 'saharouni 3youna']",10,,PT3M2S,2d,hd,false,True,False,39877,5107,517,United Arab Emirates
